"Ship_Name";"Ship_No";"HP";"Firepower";"Armor";"Torpedo";"Evasion";"AA";"Aircraft";"ASW";"Speed";"LOS";"Ship_Range";"Luck"
"Hyuuga";4;"74";"74 (94)";"70 (89)";"0";"22 (49)";"28 (79)";"12";"0";"Slow";"10 (36)";"Long";"15 (69)"
"Ikazuchi";73;"15";"10 (29)";"6 (19)";"27 (69)";"42 (79)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Ise";3;"74";"74 (89)";"70 (89)";"0";"22 (49)";"28 (79)";"12";"0";"Slow";"10 (36)";"Long";"15 (69)"
"Isonami";16;"15";"10 (29)";"5 (19)";"27 (69)";"40 (79)";"10 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Isuzu";43;"26";"14 (39)";"10 (29)";"24 (79)";"37 (69)";"13 (49)";"2";"40 (79)";"Fast";"8 (39)";"Medium";"12 (49)"
"Jintsuu";47;"26";"14 (39)";"11 (29)";"24 (79)";"38 (69)";"13 (49)";"2";"20 (69)";"Fast";"8 (39)";"Medium";"10 (49)"
"Kaga";7;"71";"0 (39)";"29 (59)";"0";"27 (49)";"28 (69)";"93";"0";"Fast";"40 (69)";"Short";"10 (49)"
"Katori";154;"36";"14 (28)";"9 (27)";"12 (28)";"24 (49)";"14 (42)";"3";"12 (42)";"Slow";"10 (38)";"Medium";"10 (49)"
"Katsuragi";203;"48";"0 (25)";"27 (52)";"0";"34 (59)";"27 (72)";"51";"0";"Fast";"36 (70)";"Short";"20 (69)"
"Kikuzuki";36;"13";"6 (29)";"5 (18)";"18 (49)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"10 (49)"
"Kinu";109;"26";"14 (39)";"10 (29)";"24 (79)";"38 (69)";"13 (49)";"2";"20 (59)";"Fast";"8 (39)";"Medium";"12 (49)"
"Kinugasa";120;"37";"30 (54)";"26 (37)";"12 (59)";"33 (69)";"16 (59)";"6";"0";"Fast";"11 (39)";"Medium";"20 (69)"
"Kirishima";24;"63";"63 (89)";"52 (69)";"0";"30 (59)";"24 (69)";"9";"0";"Fast";"13 (39)";"Long";"10 (49)"
"Kisaragi";32;"13";"6 (29)";"5 (18)";"18 (49)";"37 (69)";"7 (29)";"0";"16 (39)";"16 (39)";"4 (17)";"Short";"10 (49)"
"Kiso";41;"25";"14 (39)";"10 (29)";"24 (79)";"36 (69)";"13 (49)";"2";"19 (59)";"Fast";"8 (39)";"Medium";"10 (49)"
"Kitakami";20;"25";"14 (39)";"10 (29)";"24 (79)";"37 (77)";"13 (49)";"0";"19 (59)";"Fast";"8 (39)";"Medium";"15 (69)"
"Kongou";21;"63";"63 (89)";"52 (69)";"0";"30 (59)";"24 (69)";"9";"0";"Fast";"13 (39)";"Long";"12 (49)"
"Kuma";39;"25";"14 (49)";"10 (29)";"24 (89)";"36 (79)";"13 (59)";"2";"19 (59)";"Fast";"8 (39)";"Medium";"12 (49)"
"Kumano";125;"40";"40 (59)";"30 (59)";"18 (69)";"31 (62)";"18 (59)";"6";"0";"Fast";"14 (39)";"Medium";"5 (49)"
"Littorio";241;"88";"78 (97)";"72 (86)";"0";"8 (54)";"40 (72)";"12";"0";"Fast";"15 (44)";"Very Long";"20 (69)"
"Maya";61;"45";"40 (54)";"35 (49)";"24 (49)";"35 (59)";"18 (56)";"6";"0";"Fast";"13 (39)";"Medium";"10 (49)"
"Mikazuki";37;"13";"6 (29)";" (18)";"18 (49)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"10 (49)"
"Mikuma";116;"40";"40 (59)";"30 (59)";"18 (69)";"31 (62)";"18 (59)";"6";"0";"Fast";"14 (39)";"Medium";"5 (49)"
"Miyuki";14;"15";"10 (29)";"5 (19)";"27 (69)";"40 (79)";"10 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Mochizuki";38;"13";"6 (29)";"5 (18)";"18 (49)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"10 (49)"
"Mogami";51;"41";"40 (59)";"31 (59)";"18 (69)";"35 (69)";"20 (59)";"6";"0";"Fast";"14 (39)";"Medium";"10 (49)"
"Murakumo";15;"15";"10 (29)";"5 (19)";"27 (69)";"40 (79)";"10 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Musashi";143;"94";"96 (129)";"88 (108)";"0";"27 (59)";"50 (94)";"28";"0";"Slow";"15 (39)";"Very Long";"10 (79)"
"Mutsu";2;"80";"82 (99)";"75 (89)";"0";"24 (49)";"31 (89)";"12";"0";"Slow";"12 (39)";"Long";"3 (39)"
"Mutsuki";31;"13";"6 (29)";"5 (18)";"18 (59)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"12 (49)"
"Myoukou";55;"44";"40 (59)";"32 (49)";"24 (59)";"34 (69)";"16 (64)";"6";"0";"Fast";"12 (39)";"Medium";"10 (49)"
"Nachi";56;"44";"40 (54)";"32 (49)";"24 (49)";"34 (59)";"16 (54)";"6";"0";"Fast";"12 (39)";"Medium";"10 (49)"
"Nagara";42;"26";"14 (49)";"10 (29)";"24 (89)";"37 (79)";"13 (59)";"2";"20 (59)";"Fast";"8 (39)";"Medium";"12 (49)"
"Nagato";1;"80";"82 (99)";"75 (89)";"0";"24 (49)";"31 (89)";"12";"0";"Slow";"12 (39)";"Long";"20 (79)"
"Nagatsuki";35;"13";"6 (29)";"5 (18)";"18 (49)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"15 (69)"
"Naka";48;"26";"14 (39)";"11 (29)";"24 (79)";"38 (69)";"13 (49)";"2";"24 (69)";"Fast";"8 (39)";"Medium";"10 (49)"
"Natori";44;"26";" 14 (39)";"10 (29)";"24 (79)";"37 (69)";"13 (49)";"2";"20 (59)";"Fast";"8 (39)";"Medium";"10 (49)"
"Nenohi";76;"16";"10 (29)";"6 (19)";"27 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Noshiro";138;"30";"20 (42)";"17 (32)";"24 (72)";"37 (72)";"17 (60)";"6";"25 (70)";"Fast";"12 (45)";"Medium";"10 (49)"
"Oboro";67;"15";"10 (29)";"5 (19)";"27 (69)";"41 (79)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Ooi";19;"25";"14 (49)";"11 (29)";"24 (89)";"37 (77)";"13 (59)";"0";"19 (59)";"Fast";"8 (39)";"Medium";"17 (49)"
"Ooshio";86;"16";"10 (29)";"6 (19)";"24 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Ooyodo";183;"34";"24 (48)";"19 (34)";"0 (39)";"35 (70)";"18 (62)";"12";"0 (39)";"Fast";"24 (80)";"Medium";"24 (69)"
"Prinz Eugen";76;"50";"38 (56)";"38 (64)";"32 (64)";"34 (68)";"16 (44)";"9";"0";"Fast";"15 (40)";"Medium";"30 (79)"
"Roma";242;" 88";"79 (98)";"71 (85)";"0";"27 (52)";"44 (74)";"12";"0";"Fast";"17 (46)";"Very Long";"6 (39)"
"Sakawa";140;"31";"19 (41)";"17 (32)";"23 (71)";"36 (72)";"17 (62)";"6";"27 (72)";"Fast";"12 (45)";"Medium";"20 (49)"
"Samidare";83;" 16";"10 (29)";"6 (19)";"24 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Satsuki";33;"13";"6 (29)";"5 (18)";"18 (49)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"10 (49)"
"Sazanami";69;"15";"10 (29)";"5 (19)";"27 (69)";"41 (79)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Sendai";46;"26";"14 (49)";"11 (29)";"24 (89)";"38 (79)";"13 (59)";"2";"20 (69)";"Fast";"8 (39)";"Medium";"12 (49)"
"Shigure";80;"16";"10 (29)";"6 (19)";"24 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Shikinami";18;"15";"10 (29)";"5 (19)";"27 (69)";"41 (79)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Shiratsuyu";79;"16";"10 (29)";"6 (19)";"24 (79)";"43 (79)";"12 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"12 (49)"
"Shirayuki";12;"15";"10 (29)";"5 (19)";"27 (69)";"40 (79)";"10 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Shoukaku";106;"62";"0 (39)";"33 (49)";"0";"36 (59)";"29 (69)";"75";"0";"Fast";"44 (69)";"Short";"10 (49)"
"Souryuu";8;"50";"0 (29)";"27 (49)	";"0";"33 (59)";"26 (69)";"64";"0";"Fast";"42 (69)";"Short";"10 (49)"
"Suzuya";124;"40";"40 (59)";"30 (59)";"18 (69)";"31 (62)";"18 (59)";"6";"0";"Fast";"14 (39)";"Medium";"5 (49)"
"Taihou";153;"67";"0 (49)";"40 (79)";"0";"33 (57)";"42 (79)";"61";"0";"Fast";"47 (74)";"Short";"2 (19)"
"Takao";59;"45";"40 (59)";"35 (49)";"24 (59)";"35 (69)";"18 (66)";"6";"0";"Fast";"13 (39)";"Medium";"10 (49)"
"Tama";40;"25";"14 (39)";"10 (29)";"24 (79)";"36 (69)";"13 (49)";"2";"19 (59)";"Fast";"8 (39)";"Medium";"10 (49)"
"Tatsuta";29;"23";"11 (39)";"7 (29)";"18 (59)";"35 (69)";"8 (39)";"0";"18 (59)";"Fast";"7 (19)";"Medium";"17 (49)"
"Tenryuu";28;"23";"11 (39)";"7 (29)";"18 (59)";"35 (69)";"8 (39)";"0";"18 (59)";"Fast";"7 (19)";"Medium";"17 (49)"
"Tone";63;"44";"32 (59)";"36 (59)";"24 (59)";"36 (69)";"20 (67)";"9";"0";"Fast";"20 (59)";"Medium";"10 (49)"
"Unryuu";201;"48";"0 (27)";"26 (52)";"0";"32 (59)";"28 (72)";"51";"0";"Fast";"40 (72)";"Short";"10 (49)"
"Ushio";70;"15";"10 (29)";"5 (19)";"27 (69)";"41 (79)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"20 (79)"
"Uzuki";165;"13";"6 (29)";"5 (18)";"18 (49)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"10 (49)"
"Wakaba";77;"16";"10 (29)";"6 (19)";"27 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Yahagi";139;"31";"20 (42)";"17 (33)";"24 (72)";"38 (72)";"17 (63)";"6";"25 (70)";"Fast";"13 (45)";"Medium";"13 (59)"
"Yamashiro";27;"67";"74 (94)";"59 (79)";"0";"19 (39)";"23 (79)";"12";"0";"Slow";"9 (33)";"Long";"5 (39)"
"Yamato";131;"93";"96 (129)";"88 (108)";"0";"27 (59)";"50 (94)";"28";"0";"Slow";"15 (39)";"Very Long";"12 (79)"
"Yayoi";164;"13";"6 (29)";"5 (18)";"18 (59)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"10 (49)"
"Yura";45;" 26";"14 (39)";"10 (29)";"24 (79)";"37 (69)";"13 (49)";"2";"40 (59)";"Fast";"8 (39)";"Medium";"10 (49)"
"Yuubari";111;"19";"17 (42)";"10 (29)";"20 (69)";"42 (69)";"10 (42)";"0";"13 (39)";"Fast";"6 (39)";"Medium";"12 (49)"
"Yuudachi";82;"16";"10 (29)";"6 (19)";"24 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Zuikaku";107;"62";"0 (39)";"33 (49)";"0";"39 (69)";"29 (69)";"75";"0";"Fast";"44 (69)";"Short";"40 (89)"
